schema: c3332
total: 531

pos	coluna	tipo
  1	numero	USER-DEFINED
  2	numeropedido	USER-DEFINED
  3	codcliente	USER-DEFINED
  4	coddestinatario	USER-DEFINED
  5	codremetente	USER-DEFINED
  6	codveiculo	USER-DEFINED
  7	codmotorista	USER-DEFINED
  8	codmercadoria	USER-DEFINED
  9	codfilial	USER-DEFINED
 10	codembarcador	USER-DEFINED
 11	codfaturasaldo	USER-DEFINED
 12	codfaturaadiantamento	USER-DEFINED
 13	codfaturaclassificacao	USER-DEFINED
 14	codfaturaicms	USER-DEFINED
 15	data	timestamp without time zone
 16	datadigitacao	timestamp without time zone
 17	pesosaida	USER-DEFINED
 18	pesochegada	USER-DEFINED
 19	precotonempresa	USER-DEFINED
 20	freteempresa	USER-DEFINED
 21	adiantamentoempresa	USER-DEFINED
 22	precotonmotorista	USER-DEFINED
 23	fretemotorista	USER-DEFINED
 24	adiantamentomotorista	USER-DEFINED
 25	comissao	USER-DEFINED
 26	numeroclassificacao	character varying
 27	valorclassificacao	USER-DEFINED
 28	valormercadoria	USER-DEFINED
 29	codfornecedoradiant	USER-DEFINED
 30	datavencadiant	timestamp without time zone
 31	acertoadiant	numeric
 32	codfornecedorsaldo	USER-DEFINED
 33	dtvencsaldo	timestamp without time zone
 34	acertosaldo	numeric
 35	taxaquebra	USER-DEFINED
 36	quantidadequebra	USER-DEFINED
 37	tipodesconto	character
 38	tipotolerancia	character
 39	valorquebra	USER-DEFINED
 40	pagaicms	character
 41	baseicms	USER-DEFINED
 42	porcicms	USER-DEFINED
 43	valoricms	USER-DEFINED
 44	horacarregamento	timestamp without time zone
 45	horaprogramada	timestamp without time zone
 46	horaprevista	timestamp without time zone
 47	obs1	character varying
 48	obs2	character varying
 49	dtvencclassificacao	timestamp without time zone
 50	codfornecedorclassificacao	USER-DEFINED
 51	codfornecedoricms	USER-DEFINED
 52	dtvencicms	timestamp without time zone
 53	horasaida	timestamp without time zone
 54	horachegada	timestamp without time zone
 55	horafimdescarga	timestamp without time zone
 56	sacacarregamento	integer
 57	sacatransporte	integer
 58	sacadescarga	integer
 59	kmrodado	USER-DEFINED
 60	reclamacao	character
 61	tipofrete	character
 62	numeroconhecimento	USER-DEFINED
 63	numeroprogramacao	USER-DEFINED
 64	tempo	integer
 65	valorestadia	USER-DEFINED
 66	icmsembutido	USER-DEFINED
 67	pagar	USER-DEFINED
 68	codfornecedorestadia	USER-DEFINED
 69	dtvencestadia	timestamp without time zone
 70	despesaextra	USER-DEFINED
 71	contrato	character varying
 72	dataatual	timestamp without time zone
 73	serie	character varying
 74	quantmercadoria	USER-DEFINED
 75	especiemercadoria	character varying
 76	fretecombinado	USER-DEFINED
 77	impresso	USER-DEFINED
 78	chegouadiantamento	USER-DEFINED
 79	chegousaldo	USER-DEFINED
 80	chegouclassificacao	USER-DEFINED
 81	chegouicms	USER-DEFINED
 82	taxaseguro	USER-DEFINED
 83	premioseguro	USER-DEFINED
 84	fretepago	USER-DEFINED
 85	codfornecedorpedagio	USER-DEFINED
 86	datavencpedagio	timestamp without time zone
 87	valorpedagio	USER-DEFINED
 88	cargadescarga	USER-DEFINED
 89	valorabonoquebra	USER-DEFINED
 90	obsquebra	USER-DEFINED
 91	codfaturapedagio	USER-DEFINED
 92	pedagioembutidofrete	USER-DEFINED
 93	mercadoriapaga	USER-DEFINED
 94	acertoicms	numeric
 95	codfornecedorbalsa	USER-DEFINED
 96	datavencbalsa	timestamp without time zone
 97	valorbalsa	USER-DEFINED
 98	codcarreta	USER-DEFINED
 99	tributaimpostos	USER-DEFINED
100	precotonfiscal	USER-DEFINED
101	valorfretefiscal	USER-DEFINED
102	datapedido	timestamp without time zone
103	sacacarrvalvula	integer
104	sacacarrpapel	integer
105	sacacarrestouro	integer
106	sacatranvalvula	integer
107	sacatranpapel	integer
108	sacatranestouro	integer
109	sacadescvalvula	integer
110	sacadescpapel	integer
111	sacadescestouro	integer
112	codfaturaestadia	USER-DEFINED
113	horachegpedtransp	timestamp without time zone
114	descdiffrete	USER-DEFINED
115	descsegurosaldo	USER-DEFINED
116	prepago	USER-DEFINED
117	outrosdescontos	numeric
118	codcoleta	USER-DEFINED
119	codentrega	USER-DEFINED
120	pesosaidamotorista	USER-DEFINED
121	pedidofrete	character varying
122	pedidotransf	character varying
123	umidade	USER-DEFINED
124	impureza	USER-DEFINED
125	avariado	USER-DEFINED
126	valoriss	USER-DEFINED
127	issembutido	USER-DEFINED
128	codunidadeembarque	USER-DEFINED
129	dataviagemmotorista	timestamp without time zone
130	obs3	USER-DEFINED
131	obs4	USER-DEFINED
132	obs5	USER-DEFINED
133	dtpagtomercadoria	timestamp without time zone
134	dataexportacao	timestamp without time zone
135	percredvlicms	USER-DEFINED
136	codcidadeorigem	USER-DEFINED
137	codcidadedestino	USER-DEFINED
138	flag	USER-DEFINED
139	numeronotafiscal	character varying
140	toleranciaestadia	USER-DEFINED
141	valorhoraestadia	USER-DEFINED
142	cancelado	USER-DEFINED
143	valorinss	numeric
144	valorirrf	numeric
145	freteempresasai	USER-DEFINED
146	fretemotoristasai	USER-DEFINED
147	descontainsssaldo	USER-DEFINED
